id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgzRAEZTi8rcGg8Fxxh4AaABAg,Shubham Thorwe,4 days ago,1538931195110,obsessed 💕,0,false,0,,,,,,
UgxpJy9s3IJZRlutUGB4AaABAg,Joaozin Bb,3 months ago,1531327995112,jackie viena tem o timbre parecido com o da paula fernandes,1,false,0,,,,,,
UgzSSKIyTFWUEB-Buft4AaABAg,Dale Jones,4 months ago,1528735995114,This performance was amazing. I still can’t stop watching this. Jackie is incredible.,1,false,0,,,,,,
Ugy_fs6yY_GB7o4q3lV4AaABAg,gitana1384,4 months ago,1528735995116,"She is 100% the Dark Horse this season. I didn't pay too much attention to her in the beginning but her vocals are amazing and week after week, she just keeps getting better. I am NOT a Country music fan but I enjoy her performances. Her voice and song choices have a mainstream appeal that would work well for a record label. I hope she makes the finale and gets a record deal.",2,false,0,,,,,,
UgzrByaNHsnVn40rie54AaABAg,Chanel Oberlin,5 months ago,1526057595118,Maren Morris songs are hard to sing. Props to this girl,1,false,0,,,,,,
Ugx_uk2RqcyOjQ7W6514AaABAg,Indiana Melo,5 months ago,1526057595119,Her voice technique sounds a lot like alisan porter,0,false,0,,,,,,
UgyOXxtVSIuxCnf73dp4AaABAg,randy lavallee,5 months ago,1526057595121,Wow..what a lovely voice...beautiful country voice..so good girl. Probably sing any thing and make it great..the two Jackie's are my favorites..one rock.pop and one country pop..rock. Watch out for them...could surprise things!!!,0,false,0,,,,,,
UgyhjLuDUbw_H4yTpsx4AaABAg,Clorox bleach,5 months ago,1526057595123,Honestly Reid and drew deserved to be here more than this girl sorry not sorry,0,false,0,,,,,,
UgzlaXpFn6qNFIeAbXR4AaABAg,Armani Ocampo,5 months ago,1526057595125,Hannah Goebel sang it better,0,false,0,,,,,,
Ugy1-s5JYzgEgAaKS2t4AaABAg,NeekFeek,5 months ago,1526057595127,Why is everybody ignoring the fact that she literally cannot hit that note,1,false,0,,,,,,
UgwsvduNE2DfM2wo_kF4AaABAg,Vanessa Whitney,5 months ago,1526057595129,Adam this is why u always lose Mia was way better,0,false,0,,,,,,
UgyTKJVsd-1l0yaE7HR4AaABAg,Johnny,5 months ago,1526057595130,"Unless Adam is a miracle worker she will be 12th. Idk how he let go of Mia and the others. Blake, too—Wilkes was his only chance of winning. I think Alicia has this year with Jackie and Christiana",0,false,0,,,,,,
UgyvddzcRBjQ5VFenY14AaABAg,merun shafiei,5 months ago,1526057595132,Best country singer this season,1,false,0,,,,,,
UgyeMxtlfH77QwB4J_54AaABAg,citra rocks,5 months ago,1526057595134,"Go Jackie Verna..please sing Up To The Mountain, greetings from Indonesia!❤💛💚💙",1,false,0,,,,,,
Ugy9x4-g7Lqw0a1ZWk14AaABAg,Emily Martin,5 months ago,1526057595136,Love her,1,false,0,,,,,,
UgyWj45WE8T_E6xfwhZ4AaABAg,Sarah Motlong,5 months ago,1526057595139,She is flat on every top note...😏,0,false,0,,,,,,
Ugz7lMow1m2WdwlP40x4AaABAg,SwKarin,5 months ago,1526057595141,"I wasn´t a big Jackie fan until this performance but I´m she got through, go Jackie V!",1,false,0,,,,,,
