id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwJ-xilx-Tp5ZRpaOB4AaABAg,Jordan Blanchard,1 week ago,1538671927495,This guy definitely should've advanced in the competition! What's wrong with you America?,0,false,0,,,,,,
UgwKsjxY9E4x766hkLJ4AaABAg,corey garceau,2 months ago,1534006327497,well for the very few who actually did good in the live playoffs songs he actually did pretty good,0,false,0,,,,,,
Ugxbt_ZUedRmnr6Ztup4AaABAg,Leonardo Jamir Mendoza Pimentel,4 months ago,1528735927498,He is very good!,0,false,0,,,,,,
Ugw59AYBxbl0jkfssLN4AaABAg,J. W.,5 months ago,1526057527500,"Was in Chilis last week when the original of this song came on and I realized how profound Reid's performance was. I had to return and listen to this again!! Still can't believe he went home after such a phenomenal performance!  
I've been watching the Voice since Season 1 and  though there have some really great performances from many people, I hadn't thought anyone, except We'  McDonald had the ""Voice"" until I saw Reid's performance !!! Still upset with Adam and haven't watched another episode of the voice this season! 😠😠 I sure hope Reid proves them wrong, either solo or with his previous band ""nelo"".  I am hooked on their music now and cant believe they never made it big and famous, because their recordings, especially live, are f$&@ing fantastic.  I hope they get a good manager that will promote them like they should have been 4-5 years ago. I hope they rerelease their live album in Studio when they do!!! Will forever be a fan of theirs and Reid now! 💞",0,false,0,,,,,,
Ugwa7UYyHmiuyBGlNHl4AaABAg,Royco Al Bico,5 months ago,1526057527502,"He sounds like a guest performer, not a contestant. He was the best from team adam!",1,false,0,,,,,,
UgzXMpKpvtwgC23_mK14AaABAg,Alejo Donsanti,5 months ago,1526057527516,Way better than Rayshun ...,0,false,0,,,,,,
UgxZ8GhH1hPNJ8O7THB4AaABAg,nuleethealien,5 months ago,1526057527519,adam lost someone good,0,false,0,,,,,,
Ugwb9_5oi30ykc1rWNJ4AaABAg,J. W.,5 months ago,1526057527521,Really hope a record producer picks him up!! So good!,1,false,0,,,,,,
Ugz87LLkbMUDCjqkHat4AaABAg,Jarod Kinney,5 months ago,1526057527524,This guy was my winner. wtf,0,false,0,,,,,,
Ugw1j1YyUL1kxtgwZud4AaABAg,cj wins,5 months ago,1526057527526,I'm bored,0,false,0,,,,,,
UgyGAN4SMyom964KW7d4AaABAg,Anthony Lu,5 months ago,1526057527529,boring its all the same thing but i still wanted him thru,0,false,0,,,,,,
Ugx0HCj2i3DjXzCw2kZ4AaABAg,Saad,5 months ago,1526057527531,my fave this season,0,false,0,,,,,,
UgyZmZETeNKcIncGKTd4AaABAg,Nick Sleddens,5 months ago,1526057527534,"I am honestly gonna miss this guy... Just like Drew, Johnny, Wilkes and Justin",2,false,0,,,,,,
UgykdOnX1SWpBxjK8RN4AaABAg,M Ms,5 months ago,1526057527536,"adam gets  easily excited about contestants  , gets easily bored too. bad choice Adam boy, Reid was the one to keep",0,false,0,,,,,,
UgxB0qL5ZEzG4Wgp0pB4AaABAg,Dũng Bế,5 months ago,1526057527538,0:59 awkward high five =))))),0,false,0,,,,,,
UgxCxr_4Np2VzD9E8PV4AaABAg,Runze Shen,5 months ago,1526057527541,At certain points his voice sounds like harmonica! Wtf Adam,0,false,0,,,,,,
UgzzWWnbqwUS4sTLcJJ4AaABAg,teenieteenez,5 months ago,1526057527543,Reid not advancing makes me highly doubt I'll be tuning in to watch this show next season. Yes....I am THAT freaking bent. What in the hell could they possibly have been thinking letting this guy walk?? Smdh.,4,true,1,,,,,,
,,,,,,,,UgzzWWnbqwUS4sTLcJJ4AaABAg.8fFMrYJu6oa8fJOguKx1AM,J. W.,5 months ago,1526057527904,teenieteenez  ditto!,1
UgxJYE-98S2T1_QUP5B4AaABAg,Whatever !,5 months ago,1526057527547,"This is one of my favorite performances of the WHOLE SEASON!!!! Reid is one of my favorites!! He can sing ANYTHING!!!! Pop, Soul, Country, Rock, alternative, HE HAD IT ALL!! HE WAS AMAZING, HE DESERVED SO MUCH BETTER, and not only his voice is amazing but his personality is amazing too!",1,false,0,,,,,,
UgzNSyi6Nwvmdpv-oh14AaABAg,Drew Cole,5 months ago,1526057527550,BRO! you crushed,10,false,0,,,,,,
Ugw0iTwuE9COHMlz4H14AaABAg,Maria Belen Valenzuela,5 months ago,1526057527552,I’m starting to think that the only job Adam’s doing right on the show is the love/hate relationship skit with Blake.,0,false,0,,,,,,
Ugy02TalbGWo3CzJvyx4AaABAg,missjigga29,5 months ago,1526057528608,"No more voice for me this season, everyone that was good was eliminated..  Reid should not of gone home..  Boycotting until they bring voting back the way it was.",2,true,1,,,,,,
,,,,,,,,Ugy02TalbGWo3CzJvyx4AaABAg.8fEelfDwMh_8fJOnQNOpX2,J. W.,5 months ago,1526057528965,missjigga29  ditto!,0
Ugzo4iuL8ABk-luQWMJ4AaABAg,Geo Faour,5 months ago,1526057528611,very good performance actually,0,false,0,,,,,,
UgzelqQViEElDJx0weh4AaABAg,Lana is goddess,5 months ago,1526057528614,NOOOOOOOOOOOOOÖOO,0,false,0,,,,,,
UgzO6Hnr4lKc-VeSV6t4AaABAg,Jacqueline Landeau,5 months ago,1526057528617,Hmm this guy was the most consistent and he’s gone?,2,false,0,,,,,,
UgxlZ5Rwxw1Nj_B6u_B4AaABAg,UncleMilo,5 months ago,1526057528619,"Reid was one of my top choices for who would win The Voice!
How is he not in the Top 12??",2,true,1,,,,,,
,,,,,,,,UgxlZ5Rwxw1Nj_B6u_B4AaABAg.8fE1YSIjRnr8fE400AB4rc,Tim Wilde,5 months ago,1526057529018,"..I know, I couldn't believe Adam's pick...I actually had Jackie V as one of the bottom 3 performers when taking all songs into account ...I would have gone with Reid...",1
UgxyZtA_JtV2rz-KJ8B4AaABAg,Sil Soto,5 months ago,1526057528623,"Ta explicado porque o Adam sempre perde com suas más escolhas,afff",0,false,0,,,,,,
UgyPizc-DDdGT2PTOAt4AaABAg,Dylan Sousa,5 months ago,1526057528625,Reid is a great singer,2,false,0,,,,,,
UgzT_Z6mtJASRorSomJ4AaABAg,Robin,5 months ago,1526057528628,He deserved to go on. I really liked him.,2,false,0,,,,,,
