id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgyKDzm3OsF63wx-pkJ4AaABAg,e2cmmm,2 weeks ago,1538066761054,👏🏻🎉👏🏻🎉👏🏻✨🌟⭐️🌟✨❤️😃❤️👍🏻👍🏻👏🏻🎉👏🏻🎉👏🏻,0,false,0,,,,,,
Ugz_90Z89vz59nA7nRF4AaABAg,Ari Alba,2 weeks ago,1538066761056,Poor song choice I know what they were going for was suppose to be good but it made him bad his voice is amazing use it right,0,false,0,,,,,,
Ugy8oT3rwr4Rx6f3dUl4AaABAg,Jennifer Cornejo,4 months ago,1528735561058,Did he moved to the top 11?,1,false,0,,,,,,
UgwHbjKcOLK2HAPzayh4AaABAg,Janeah Wilde,5 months ago,1526057161060,"LOVE him!!  
I don't believe he is even capable of the slightest ""flaw"" in his singing. I always think PERFECT",1,false,0,,,,,,
UgzurV1nHBXcQUcRTQV4AaABAg,Juan Medina,5 months ago,1526057161062,One ☝️ of my favorite 😎🙌🏻,1,false,0,,,,,,
UgzOwEnSc4ofh0KURBN4AaABAg,Oliver,5 months ago,1526057161064,"I love this song and loved his performance but felt like he didn't quite get the people hyped about his performance at all. His voice with the song was good. I guess he just needed to go a little higher on the high notes to get the people hyped about the performance, song and him.",1,false,0,,,,,,
UgwoLqbIyPD6Cb1hnZF4AaABAg,Michael Angel,5 months ago,1526057161065,Boring performance.... bring back Brooke Simpson !!!!,1,false,0,,,,,,
UgyAx0J5Adc_D0qef1V4AaABAg,Rhoda Birnie,5 months ago,1526057161067,Beautiful,0,false,0,,,,,,
UgxtMUiYxGh1-hHLjA94AaABAg,Lasha Banks,5 months ago,1526057161069,This was so entrancing. His tone hit me to my core especially his dynamics! Love his singing!,0,false,0,,,,,,
UgyC3u9LrdJRn70Ts2d4AaABAg,outmazirt outma,5 months ago,1526057161071,"Oh please, yelling screaming is no singing, lunatics do that....get a real job.",0,false,0,,,,,,
UgxFAVAp4hV7BXL7Cht4AaABAg,Yolalicious,5 months ago,1526057161073,yikes! i had to re-watch Amy Mottram's audition to get this performance out of my head,0,false,0,,,,,,
Ugwra2pS5JIPb24GTxh4AaABAg,cristalclear4205,5 months ago,1526057161075,"Omg !!! That was awesome,  I wanted him to win",0,false,0,,,,,,
UgzrpiXUesuFRyKdE4F4AaABAg,outmazirt outma,5 months ago,1526057161077,good to see this sob job go away...,0,false,0,,,,,,
Ugw7_zu5bEM-OKTvFjh4AaABAg,Argo Sakti Dharma,5 months ago,1526057161078,This is my fav song of all time and he destroy it,0,false,0,,,,,,
Ugx7Ed_DFv89EWpSEyF4AaABAg,Snickel Fritz,5 months ago,1526057161080,Please do a cover of George Micheal's Careless Whisper and do some of it in spanish! That would be epic!,0,false,0,,,,,,
Ugx4S5ht-0y488YZ0sF4AaABAg,Raghad Saleh,5 months ago,1526057161082,Shoulve gone really this really bad,0,false,0,,,,,,
UgxtaStFI3pq5YGKPmx4AaABAg,Flor Molina,5 months ago,1526057161084,"He should sing a song from son by for like ""a puro dolor"" or ""yo te voy a amar"" from NSYNC that would sound amazing!!",0,false,0,,,,,,
Ugzr6AW1cwx_3ygi6yl4AaABAg,Lynn Coles,5 months ago,1526057161085,"Johnny has a fantastic voice and should really go far, I hope.",1,false,0,,,,,,
UgzqY_Y2mtBVjVgE_z54AaABAg,alsmow454,5 months ago,1526057161087,This guy Dreams big . He covered  Sia and now Adele....he's dreaming...,0,false,0,,,,,,
UgzyCY5XipCUMEY-UfV4AaABAg,Seda Korkmaz,5 months ago,1526057161090,i weirdly like this version of song and his performance,0,false,0,,,,,,
UgwUjkG9b-Lt9cjaz3R4AaABAg,Nick Hazrul,5 months ago,1526057161730,why there is 2 playoffs ?,0,false,0,,,,,,
Ugzn7JZVXWSzOVWP3Gx4AaABAg,enyer sanchez,5 months ago,1526057161732,Amazing,0,false,0,,,,,,
Ugww3zAhdGX-LSTcVdd4AaABAg,Chuvy Duvy,5 months ago,1526057161734,So disappointed 😔 he can do so much better!!!,0,false,0,,,,,,
UgzqFl0bZ-G41uuW6V54AaABAg,First Gayagoy,5 months ago,1526057161736,I don't think this performance is bad.,0,false,0,,,,,,
