id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgxlkU0l3KzAQhgW-Al4AaABAg,ilay adel,2 weeks ago,1538066619270,her voice reminds me of Lauryn Hill's!,0,false,0,,,,,,
UgyLf0ERBeeedU-bMft4AaABAg,Patrick Lloyd,1 month ago,1536684219273,So good,1,false,0,,,,,,
UgyFD9fV-YkfhLWg9s14AaABAg,Sunshine __,1 month ago,1536684219275,My favorite singer I have ever heard. Not just on this show. Like my favorite ever.,1,false,0,,,,,,
UgweiRIK36063nSHyIJ4AaABAg,ralphlabour,1 month ago,1536684219277,Yerra for,0,false,0,,,,,,
UgxfEAB8mhqOSK4oA5F4AaABAg,El Guapo,2 months ago,1534005819280,I didn’t love the song but she is amazing,0,false,0,,,,,,
UgwAwb_q7mK1msV4GVZ4AaABAg,Lauryn Niamkey,2 months ago,1534005819282,Lauryn Hill vibes or wha?,1,false,0,,,,,,
UgweBybVRQZDxzR9t9l4AaABAg,Kole Amogelang,4 months ago,1528735419284,💔,0,false,0,,,,,,
UgzEsHTwVLeSNUibz7B4AaABAg,Tiff Hendrix,4 months ago,1528735419286,I watch this video everyday,1,false,0,,,,,,
UgxB7uD33ISVtGK3Y2h4AaABAg,Watching YouTube,4 months ago,1528735419288,So irritated that she isn't on the show anymore.  GIMME DAT STANK FACE GIRL!  That's called SOUL!,1,false,0,,,,,,
UgwQLRGe4oOnRMzIlYh4AaABAg,SloVision Visuals,4 months ago,1528735419291,Lauren Hill?,1,false,0,,,,,,
Ugxt8lLPb_Gl8VF4cFp4AaABAg,uchechi onyeachu,5 months ago,1526057019293,I wish all this talented artists make it some how...there can only be one winner unfortunately,1,false,0,,,,,,
UgzHaXaOFyMxvBJYv7t4AaABAg,uchechi onyeachu,5 months ago,1526057019295,"I think brytton was cool but like not top 12... it should have been Kelsea, Christine and Jackie",1,false,0,,,,,,
UgyWf_G-nc1FNC4STON4AaABAg,Renzo Visser,5 months ago,1526057019297,she deserved it more than Danielle,0,false,0,,,,,,
UgyVLpUfgqpX8Hw3U3d4AaABAg,Juan Medina,5 months ago,1526057019299,In love with this performance 🖤🙌🏻,1,false,0,,,,,,
Ugyt5e_E-8nBbBRJoRN4AaABAg,Noah Osas,5 months ago,1526057019301,One of the best performances! Alicia why?,1,false,0,,,,,,
UgwslY53_vPhydsYpv54AaABAg,Ami Patel,5 months ago,1526057019313,I’m living for that stank face ❤️😂 #kelseaisawsome I can’t wait for her songs I NEED YOU I NEED YOU BAD ❤️❤️,1,false,0,,,,,,
Ugwg-XxPKv6-SAC3qi94AaABAg,Mista iLLuzioN//Tha TruckeR\\,5 months ago,1526057019316,Kelsey's voice gives me CHILLSSSS !!!!,1,false,0,,,,,,
UgxIXIIoxf24TSdwANZ4AaABAg,Lucas Pinheiro,5 months ago,1526057019318,She looks like so natural while sing. I see a famous singer during the show,1,false,0,,,,,,
UgwVM9PHgFZ7oM1PRul4AaABAg,Denisse Ira Montes,5 months ago,1526057019321,Can they please put back Kelsea in the competition.. It's really sad to not hear this voice anymore.,16,false,0,,,,,,
UgzDXUqmtPl8v6dAB3R4AaABAg,Jenna Clausen,5 months ago,1526057019324,i miss kelsea :(,2,false,0,,,,,,
UgykRTypS0eMMgb-3LZ4AaABAg,Princess Ë,5 months ago,1526057020055,They need to have Kelesa Sing a Jasmine Sullivan song she would kill it,0,false,0,,,,,,
Ugy315yRvf0XiPit5mp4AaABAg,jazzyfunkadelic,5 months ago,1526057020058,Kelsea don't stop singing...u are dope!!,0,false,0,,,,,,
UgxTfOzuK8e7Huydd5h4AaABAg,E T.E.M.I MUSIC,5 months ago,1526057020060,I love your face kelsea.. But this reggae they should give you better songs please!,0,false,0,,,,,,
UgyFW2Gf9HuYs242KN14AaABAg,Yördany xoxo,5 months ago,1526057020063,Ugh Kelsea’s voice is so special and her personality is great I hope she will make her own music someday🎵,2,false,0,,,,,,
Ugy94X9RyRuTkAjbqRd4AaABAg,Sieira Kindell,5 months ago,1526057020065,When she made that stank facial expression lol I felt that,2,false,0,,,,,,
Ugw9f20oAm2FfxOULeh4AaABAg,Vanessa Lastrape,5 months ago,1526057020068,1:16 😍,0,false,0,,,,,,
UgyH7EZuB9dZB3Z_AKl4AaABAg,ZÉ NASCIMENTO,5 months ago,1526057020070,Voz linda. 😍,0,false,0,,,,,,
UgyJggWn4XKTRa-Xv3B4AaABAg,Vanessa Lastrape,5 months ago,1526057020072,kelsea's voice is so special and unique. #teamalicia💙,0,false,0,,,,,,
UgwNAud3uUQ0m_u6DWF4AaABAg,JP TV,5 months ago,1526057020075,#Robbed,1,false,0,,,,,,
Ugwfa3MNLKLbZBLKxnZ4AaABAg,Galih Aria D,5 months ago,1526057020077,Im gonna miss her voice:((,1,false,0,,,,,,
UgyYENrIL3Xu7p2fnRF4AaABAg,Victoria  Ramirez,5 months ago,1526057020080,BOMB. A winner in my eyes 😍,2,false,0,,,,,,
UgwN0IepAGwzrJ95Khl4AaABAg,Yashi *,5 months ago,1526057020082,"Loads of talent
Make your own break, Kelsea.",1,false,0,,,,,,
Ugyz3V3vJpvWVimiXTN4AaABAg,Eduardo Cunha,5 months ago,1526057020085,Caralho!! O que é isso gente?,0,false,0,,,,,,
UgzJvFZ-M8uAyBpCrXl4AaABAg,Jes Thom,5 months ago,1526057020087,She gives me major Lauryn Hill vibes and that’s my favorite artist ever!!!!,1,false,0,,,,,,
UgwibxNdJlZFpCWmO6x4AaABAg,Yolalicious,5 months ago,1526057020089,hope she breaks through and becomes a phenom outside The Voice. i find her interesting.,1,false,0,,,,,,
UgyV6diWeTA92AWFKMt4AaABAg,Morris Burns,5 months ago,1526057020092,and why didnt see make it though? damn.... alicia team was stacked.,2,false,0,,,,,,
UgyI1DFRV_j35kozn6x4AaABAg,O J,5 months ago,1526057020094,"Her voice reminds me so much of Judith Hill on one of the early seasons of The Voice.  As good as Kelsea is, Judith was better IMO. She was just out too soon.",0,false,0,,,,,,
UgwyQXNx9KTmFl6xkjV4AaABAg,David Stergion,5 months ago,1526057020097,Those fascial expressions are on point!,10,false,0,,,,,,
Ugz2D2o2FgiFt7utxR54AaABAg,outmazirt outma,5 months ago,1526057020099,she did bad in the playoffs.,0,false,0,,,,,,
UgzrtSDxP5d6EZdVAWd4AaABAg,OrbitalAngel Nebula,5 months ago,1526057020102,Love her and her sass <3,1,false,0,,,,,,
Ugy-1hzycnd20N-tweV4AaABAg,Michely Alba,5 months ago,1526057020737,"So said she’s gone, she’s so unique and I love her song choices",1,false,0,,,,,,
UgzYi5GRQe9eV9p8k-N4AaABAg,Rebecca Dodge,5 months ago,1526057020741,I love her voice the gravely sultry textures to her voice are AMAZING,1,false,0,,,,,,
UgzKDGqZ9w0JGdPUKkJ4AaABAg,Fabiola Michel,5 months ago,1526057020744,she kinda sounds like Lauryn Hill,1,false,0,,,,,,
UgwU5YCazssJk3zfzml4AaABAg,Mike Mazza,5 months ago,1526057020749,😍😍😍😍😍 🎤🔥❤💯,1,false,0,,,,,,
UgzvlK4JYIWgKcWb11V4AaABAg,MsPark,5 months ago,1526057020753,"Alicia's team is always so stacked with talent at least a few great ones will have to be eliminated at some point and disspoint their fans. Audiences picked Britton then Jackie and Alicia made the best choice, saved Christiana, who's a unique voice/artist and also has a ton of fans (see her video) who would've been quite pissed if she hadn't been saved lol.",0,false,0,,,,,,
UgwcqFg1RJ0OhX6Fp_54AaABAg,Pyro Jack,5 months ago,1526057020756,Robbed Queen,3,false,0,,,,,,
Ugxz_g1Oy4zNuCQaeyh4AaABAg,samantha emily,5 months ago,1526057020778,Can’t believe Alicia didn’t save her 😭,17,false,0,,,,,,
UgwgPTCrvayNEdqXaXR4AaABAg,SincereDoper,5 months ago,1526057020781,"this was alicia's only hope for winning and she let her go, easily the biggest mistake of the season from any coach. this girl was the best on alicia's team and she sounds like lauryn hill at times and she got let go... okay then alicia... what a mistake. wow.

it wouldn't be so shocking if she got beat but the girl that alicia took picked a bad song and sounded bad on it, but she was ""unique""... well congrats on your loss alicia, because britton is your only hope now and guys like pryor will eat him like a snack. alicia went from one of the best teams to one of the worst with her decision to not take kelsea.",3,false,0,,,,,,
Ugxw6iGNbE4uvdu4Czd4AaABAg,Sway Kid,5 months ago,1526057020783,Alicia sent sharine home to let dis girl stay at the knockouts.....dumb,0,false,0,,,,,,
Ugy5xdAuG4Z3E7Gyv3J4AaABAg,Sarah B,5 months ago,1526057020785,"Love love love!! 
Mmmmmmh Im sad she didnt make it in! Keep going strong Kelsea. No stopping here!",2,false,0,,,,,,
Ugz5H6pG6VN7sX89fBt4AaABAg,arg1988,5 months ago,1526057020788,She didn't make it????? Whaaaaat?,2,false,0,,,,,,
Ugy0xKGFJ8zA7NArvxh4AaABAg,gabriella,5 months ago,1526057020791,Why America? 😢,3,false,0,,,,,,
UgxVQfEUHgJUD_R9swF4AaABAg,Monique Kwachou,5 months ago,1526057020794,Wait. How could she be gone?,3,false,0,,,,,,
UgxsVQKq72S7GZo3_1d4AaABAg,Robin Azarya,5 months ago,1526057020796,She really was robbed! Wish she could go further!! 😢😢,3,false,0,,,,,,
UgyZGC_-L5x1C_7mieh4AaABAg,haroun JB,5 months ago,1526057020798,"omg I don't believe that she's robbed, this is injustice her voice is absolutely unique and pure 
feeling sad for this",3,false,0,,,,,,
UgxtplGkgS24IilBtmd4AaABAg,Derek hi,5 months ago,1526057020800,OH MY GOD ROBBED HARD,3,false,0,,,,,,
UgwAbq6EfU11YCTABHJ4AaABAg,Juan Bernal.,5 months ago,1526057020803,Hope she makes it!!!!  ):,1,false,0,,,,,,
