id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Ugx73hWHUeUMYkzqlpV4AaABAg,Romy Lee,4 months ago,1528735671202,It’s funny. Miranda Lambert married Blake Shelton and divorced. She got a relationship with Anderson East (singer of this song),0,false,0,,,,,,
UgxrS6Ic7oNomct43dB4AaABAg,Nancy Cook,5 months ago,1526057271204,Every season their song choices near the end start to SUCK.,0,false,0,,,,,,
Ugy1PLHHsFwRi2yo0-F4AaABAg,Nancy Cook,5 months ago,1526057271206,Well we can't control everyone's vote. Country singers have a BIGGGG AUDIENCE. AND D.R. WAS BETTER THAN RAYSHANN TOO.,1,false,0,,,,,,
UgxfslanGYdXHllvIgp4AaABAg,Tamer Obeid,5 months ago,1526057271207,"If anyone else except for Kyla, Christiana, Brynn or Sharane, win this season, then that makes such shows (general taste) very low-leveled and silly, unworthy to even watch!!",0,false,0,,,,,,
UgwIZX0qMR7s8wY23YR4AaABAg,Jade Carvalho,5 months ago,1526057271209,"Actually I love the song choices because they're not obvious choices - they're diferrent in a awesome way, altough it would be great to hear some soulful songs from DR",1,false,0,,,,,,
UgzERw0JYezTgmIF_ZF4AaABAg,joel silalahi,5 months ago,1526057271211,this is better,1,false,0,,,,,,
Ugyc9jFsYftZIqL2mkt4AaABAg,Aleksandr Morozov,5 months ago,1526057271213,Сникерс молодец!),0,false,0,,,,,,
Ugy9krLPQvOFjyMb2v14AaABAg,Susana Duenas,5 months ago,1526057271214,the best one,2,false,0,,,,,,
Ugw6S5WSJ2gjuR1DaJ14AaABAg,Technorama,5 months ago,1526057271216,"I don't think we've seen talent like this on the Voice since Matthew Schuler... simply breathtaking. I really, really hope he wins.",2,false,0,,,,,,
UgyrtG9sOTCZAOd5JU14AaABAg,cj wins,5 months ago,1526057271218,Great performance 👏🏾👏🏾👏🏾,1,false,0,,,,,,
UgwiG0WQMbEiqK4twyB4AaABAg,Asimenye Schafer,5 months ago,1526057271220,He is so awesome!,2,false,0,,,,,,
