id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Ugwqt_k9UXSAG28uwAd4AaABAg,Simon Opps,1 week ago,1538671729055,"I tell you, Dylan is sexy af.",0,false,0,,,,,,
Ugy10qE877YyY22RrT54AaABAg,Ranroon Samir,4 months ago,1528735729056,he's so HOt,0,false,0,,,,,,
Ugz5qV9-qenfcgePpAR4AaABAg,Emma on the nice personality,5 months ago,1526057329058,he’s my cousin everyone,0,false,0,,,,,,
Ugz7Is1RKg4SRLH8tMd4AaABAg,K G,5 months ago,1526057329060,They could have kept the ratings a lil higher if they kept him a lil longer..,0,false,0,,,,,,
UgxvEOvLvPobNtDB9IV4AaABAg,Fahda Seger,5 months ago,1526057329062,HE'S SOOOOOOOOOOOOO HOT!!!!!!!!!,0,false,0,,,,,,
UgzsdZi9YnuLBEFBdpV4AaABAg,Rodearman Sidauruk,5 months ago,1526057329064,He got swaggggg..he do..,0,false,0,,,,,,
Ugy1Hm0XcZimqpWZqpp4AaABAg,James,5 months ago,1526057329065,ANOTHER UNKNOWN SONG. CAN'T YOU GUYS PICK SONGS FROM THE BILLBOARD CHARTS? THE ONE THAT PEOPLE WANNA HEAR,0,false,0,,,,,,
Ugxb_CGHjw55IA4hXCt4AaABAg,Gio T,5 months ago,1526057329067,For all of you who love Dylan you can follow him on Twitter @dylansmusiq,0,false,0,,,,,,
UgwRG25l-C4aTZw8WU54AaABAg,Alina Rosen,5 months ago,1526057329069,"I don't think Dylan is better than DR or DR is better than Dylan (I have lots of love for DR!), but I think Dylan would've gotten more votes and would not have been eliminated so soon :( I'm sad to see team kelly dwindling down",1,false,0,,,,,,
UgyFpym69EFchKHZsbN4AaABAg,gsailo,5 months ago,1526057329071,😢 why didnt they vote for him,2,false,0,,,,,,
Ugw4Pa78nPmR2Acpqtd4AaABAg,Gail Reedy,5 months ago,1526057329072,Great job on this classic tune.  Sad to see you go.  Keep on keeping on,1,false,0,,,,,,
UgyaElxR3bP2j4nIPwd4AaABAg,Ruth Meeker,5 months ago,1526057329074,His best performance. He deserved to be in the Top 12!,2,false,0,,,,,,
UgyodNewiXiozECxrdt4AaABAg,Txzookeeper,5 months ago,1526057329076,"Wish Dylan would sing Luke""s Move.  Love that song.",0,false,0,,,,,,
Ugxcl35stau_tpK7ZWp4AaABAg,Cadence Stephens,5 months ago,1526057329078,Dylan was ROBBED. He'd be the PERFECT replacement for Kaleb.,3,false,0,,,,,,
UgwrAfthjQTQCrGy-tx4AaABAg,Skylar Angeles,5 months ago,1526057329079,He should sing Colder Weather next.,0,false,0,,,,,,
UgxoyCp1FYXRyKpw3TV4AaABAg,Sandy Goad,5 months ago,1526057329081,I wonder if anyone realizes he was singing about smoking pot on a family show,1,false,0,,,,,,
UgyGAxwFAdYM7-pagIx4AaABAg,Sidonie Ingita,5 months ago,1526057329083,He's so sexy when he sings!!! ^_^,0,false,0,,,,,,
UgyJBD_B5KvDozMSxUV4AaABAg,Kanya Belfa,5 months ago,1526057329085,IM MELTING,0,false,0,,,,,,
UgzH5e8HE_tZf0au9Fl4AaABAg,cj wins,5 months ago,1526057329086,Uh uh. This was bad.,0,false,0,,,,,,
UgwNkAz1JLT2q0W0F354AaABAg,Jan Ryan,5 months ago,1526057329088,its too bad the voice doesn't live up to the look,0,false,0,,,,,,
UgwjvLMnQv5TiaoUHxJ4AaABAg,Christopher Ledford,5 months ago,1526057329686,worst performance this season.... horrible for so many obvious reasons.... Kelly.. lay off the adderall and slow down hun... take a breath and quit praising this horrible poser,0,false,0,,,,,,
Ugx3zO3WO6N9wiyxPzp4AaABAg,Anthony Lu,5 months ago,1526057329688,how did he not get through ;(,1,false,0,,,,,,
UgzMXluWRXrOVXw27zl4AaABAg,Dj MeechLouch,5 months ago,1526057329689,"He shouldve been eliminated, i hate when females vote for guys because they think theyre good looking.",0,false,0,,,,,,
UgzXg5IFCAYldRTOPDd4AaABAg,Raouf MORSI,5 months ago,1526057329691,he dont deserve the voice lets be honest,0,false,0,,,,,,
Ugy3J3kjykwwRpEEj8p4AaABAg,Juan Escalona,5 months ago,1526057329693,"no puedo creer que hayas salido, mereces estar en la final. 
igual felicidades y no dejes de cantar.
sing ever! xd",0,false,0,,,,,,
Ugwv-kgZeEqNUQQUDsl4AaABAg,Juan Escalona,5 months ago,1526057329695,u are a champion!!,0,false,0,,,,,,
UgyFh6Bd7DDmEXSn1Zd4AaABAg,Abigail Kirschner,5 months ago,1526057329697,I know some people might disagree but I love all of his song choices. Good job baby,0,false,0,,,,,,
UgwzXOi13x5sySu_TNx4AaABAg,John Baldino,5 months ago,1526057329698,"Talented kid,hope he gets picked up by someone,he has a lot to offer !!!",0,false,0,,,,,,
UgwAZdXUA7eVtq3mVqh4AaABAg,Yaj Socute,5 months ago,1526057329700,I dont want to watch the voice anymore,3,false,0,,,,,,
UgzWuQdfVV8Pbaz7bvh4AaABAg,Gian LO,5 months ago,1526057329702,I like his stage presence,1,false,0,,,,,,
UgwSrmA_B2jyrYbARGF4AaABAg,Luna Trinity,5 months ago,1526057329704,He has a future in this industry,1,false,0,,,,,,
Ugx8-4E2uH-E47BqhXd4AaABAg,Luna Trinity,5 months ago,1526057329706,Well done,0,false,0,,,,,,
UgzuG7KkhGUI5hTE_tJ4AaABAg,Dylan Perez,5 months ago,1526057329708,"He deserved to stay. His voice is very controlled and clean. It's solid. You don't need powerhouse vocals to be good. Dylan also has something no other contestant has this season: stage presence. He's a performer. He has the ""it"" factor. He may be out, but he's a star in the making.",2,false,0,,,,,,
Ugwh3t22gchKV_IgZGN4AaABAg,P. Nessa,5 months ago,1526057329709,The instruments muted him out. You barely heard his voice.,0,false,0,,,,,,
UgwdQdTutYo1AuUnkuN4AaABAg,Christian James Concepcion,5 months ago,1526057329711,How on earth is he going home? 😤,0,false,0,,,,,,
Ugy0Z9xEHuJblyXsqRl4AaABAg,vstarnelson,5 months ago,1526057329713,Murdered The great Tom Petty’s song ! Horrible.,0,false,0,,,,,,
UgzRSuA0UUX7WHSYssB4AaABAg,Geo Faour,5 months ago,1526057329715,kinda like this performance so much,0,false,0,,,,,,
Ugzt--fDObuiywg82654AaABAg,Ilham AIT BOUAZZA,5 months ago,1526057329716,Out? NO WAY!!,0,false,0,,,,,,
UgwusD4WVhzwq8XoIRl4AaABAg,Jeff Morse,5 months ago,1526057329723,"Kelly blew it here.  Dylan was getting markedly better and more interesting with every song choice.  I had no illusions of him winning, but I was surprised by his song choices every time.  They kept getting better and better.",74,true,5,,,,,,
,,,,,,,,UgwusD4WVhzwq8XoIRl4AaABAg.8fEFyZjJcuQ8fKCNA-J__u,Jakobi Jaiye,5 months ago,1526057330081,Jeff Morse and not to mention his stage presence and confidence...that makes a huge difference,4
,,,,,,,,UgwusD4WVhzwq8XoIRl4AaABAg.8fEFyZjJcuQ8fNFqo-HZar,Abigail Kirschner,5 months ago,1526057330083,That was a HUGE mistake by Kelly. I wonder if she went home and realized it. I don’t get it. Neither Kaleb or DR are anything special. Dylan’s don’t come around that often on this show.,5
,,,,,,,,UgwusD4WVhzwq8XoIRl4AaABAg.8fEFyZjJcuQ8fOzzUqZqHm,Super Waffles,5 months ago,1526057330085,I agree. I think this was his best performance. He just kept getting better. Sad to see him go,1
,,,,,,,,UgwusD4WVhzwq8XoIRl4AaABAg.8fEFyZjJcuQ8g77ssiPpDA,Emma on the nice personality,5 months ago,1526057330086,Jeff Morse he’s my cousin! and she did really make a mistake🤧 i was so sad i was crying he’s my cousin,1
,,,,,,,,UgwusD4WVhzwq8XoIRl4AaABAg.8fEFyZjJcuQ8gI0QtIThvJ,Victor GS,4 months ago,1528735730088,"I would've chosen him if I were in Kelly's place... and people liked him better than D.R, so...",0
Ugy8mIvy3tu5kiwygUp4AaABAg,crynoangel,5 months ago,1526057329726,"I'm not hating on Kaleb. It's not also about who's my favorite, but Dylan deserved that spot more than him. I'm just so done with another generic country guy. I'm not saying Kaleb's got no talent, I'm just saying Dylan could actually win this thing and make it big after The Voice. Oh well, what can I say? Voting isn't America's best skill.",11,true,2,,,,,,
