id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgwjlJvqc36_ml4RRep4AaABAg,The Bee,4 months ago,1528735802346,She honestly one of the only good singers this season,0,false,0,,,,,,
Ugy8XhP39RH_U6xRPdF4AaABAg,Bajj Ajjj,4 months ago,1528735802348,Tish.  I miss u on this show. And felt you should have gone further.  Don't stop baby,0,false,0,,,,,,
Ugwi3oLWTLjIXA_4BiV4AaABAg,dancenakedman67,5 months ago,1526057402350,Im still mad she didnt make it....like do you not hear her her voice is fuckin insane it was soooo good,0,false,0,,,,,,
Ugw8uXslf9Tiu03hi4l4AaABAg,BlakBeautie,5 months ago,1526057402351,My favorite,0,false,0,,,,,,
Ugxe4udk6NnqhaGxX7B4AaABAg,Elizabeth Diehle,5 months ago,1526057402353,Super hard song to do... soo sad she's gone. I give her mad props for taking such a hard song and doing as well as she did. Let's see you all do this.,0,false,0,,,,,,
Ugwy_d7AyGr6RgvXqf14AaABAg,Aniya Dyson,5 months ago,1526057402355,Tish better win this she sing very nice killed it girl sing 😂😂😂😂😂😂😂😎😎😎😘😘😘,0,false,0,,,,,,
Ugw-4aQieYHXEU8N7QV4AaABAg,Jake Cunningham,5 months ago,1526057402357,"You all need to reevaluate how you see singers. This is the reason we have the artists we have today. :/ Majority of them are always flat and constantly unoriginal. The reason she was voted off was that she was pitchy and flat constantly throughout the song. Not to mention, very unoriginal with the presentation of the song itself. I've seen a lot of people sing that song exact;y like that. Just because you are tone deaf does not mean the people you like are any good at all. There are plenty of better singers in the conpetition than her. just stating the truth.",0,false,0,,,,,,
UgyokErLRhuyUrsZUsB4AaABAg,Crazy K Butler,5 months ago,1526057402359,Girl's got soul.,0,false,0,,,,,,
Ugzjvj0XX_AEXJU1JHR4AaABAg,Anthony Lu,5 months ago,1526057402361,it was quite pitchy this time :(,1,false,0,,,,,,
UgxlBXGFZAHHP4p6TJd4AaABAg,Lewis Gladwell,5 months ago,1526057402362,And the country guy went through instead of her.............. what has this world come to,0,false,0,,,,,,
UgyrcEAZNwujzBOQs8B4AaABAg,Yolalicious,5 months ago,1526057402364,hey this woman can sang! but something was too hard for this song. bad song choice. sorrynotsorry,0,false,0,,,,,,
Ugykn24MBw-3-IMCYZh4AaABAg,Gerson Ryan Sumampong,5 months ago,1526057402366,Too many flat notes. 😭,0,false,0,,,,,,
