id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Ugx8dGLz1okEQ9UZBG54AaABAg,kenakaren,2 months ago,1533329569415,"this sound exactly like the original song, don't wanna hear that, no originality at all, no wonder he didn't made it far.",0,false,0,,,,,,
UgyyJs3R5q9zEFDjdep4AaABAg,Antonio Anton,2 months ago,1533329569418,This was cute. Nothing spectacular,0,false,0,,,,,,
UgyK7lckDm4eBnpgi8J4AaABAg,Panda Parade,4 months ago,1528059169420,"this is honestly the song he needed, he wasnt going to win just crooning, this really opened him up to the public. dont understand why everyone is hating",1,false,0,,,,,,
UgxftWEFrhuamALjguV4AaABAg,ben pirouzi,4 months ago,1528059169422,"we love your voice Austin Giorgio,don't give up",1,false,0,,,,,,
UgzOBKgpcgY77ih5iU54AaABAg,Kayla Blair,4 months ago,1528059169424,Ugh that suit 😍😍😍,0,false,0,,,,,,
UgxJww97ryTuHvgWRWt4AaABAg,rahmat firdaus,4 months ago,1528059169426,Why he sounds like Michael Buble?,0,false,0,,,,,,
UgxVCHrgtzPRJqvwhAl4AaABAg,Andrew Salinas,5 months ago,1525380769429,Damn this was boring,0,false,0,,,,,,
UgzWhu0cRxa_vdsBpxV4AaABAg,Judith Nuñez,5 months ago,1525380769431,"I really think this was an awful song choice. His style and voice are unique, he could have shown off but instead he just did a karaoke version of the song. That song choice may have cost a place in the top 12!",0,false,0,,,,,,
UgyDPaJpt7aZ44JVRwl4AaABAg,Oliver,5 months ago,1525380769433,I think this song choice wasn't a wise one. It doesn't showcase his voice the way it should've been showcased. I love Austin and he could've done another song better.,0,false,0,,,,,,
UgyuJ6wT_no6g1FkjhB4AaABAg,Alejo Donsanti,5 months ago,1525380769435,This man is my decepcion off the playoffs i think he would pass to the top 12,0,false,0,,,,,,
Ugy_Aa7L-Css3GBlCcZ4AaABAg,R H,5 months ago,1525380769437,hot af,0,false,0,,,,,,
UgxUtFYIJYRQS7Nhwlx4AaABAg,Raghad Saleh,5 months ago,1525380769446,What a big NoOoOo,0,false,0,,,,,,
UgzNb4WkaSm7JCtA2QV4AaABAg,kyle nicholson,5 months ago,1525380769448,Michael Buble doing Justin Bieber.   So canadian.,0,false,0,,,,,,
UgyADCeQNWlML691yNh4AaABAg,littlewittleapple,5 months ago,1525380769450,oks but wrong song,0,false,0,,,,,,
UgxiBprnJ9pS5-D7kWZ4AaABAg,Brooks Guitar Lessons,5 months ago,1525380769452,Sweet and tasty guitar part.  I need to learn that.,0,false,0,,,,,,
Ugz3no52XozppKbklEl4AaABAg,iam laiba,5 months ago,1525380769454,He ruined such a beautiful song -_-,0,false,0,,,,,,
Ugz9AXB-Qr48eOnKvnV4AaABAg,kimberly esparza,5 months ago,1525380769456,He’s so handsome I can’t,0,false,0,,,,,,
UgwwFcYz___meURBQi94AaABAg,Sarah Nordlund,5 months ago,1525380769458,He literally sounds exactly like Michael Buble,0,false,0,,,,,,
UgxnwuXf2AmSAne2g_B4AaABAg,cam cam,5 months ago,1525380769459,He shouldve stayed,1,false,0,,,,,,
UgyZEOMEKWX_9iVSfKN4AaABAg,Zachary Schultz,5 months ago,1525380769461,"I don't like Blake now. He didn't pick Austin😭😭😭😭.  I extremely wanted him to win you people don't even know how mad I am. Austin please don't give up on singing, release an album so I can have it🙏, you're amazing.",1,false,0,,,,,,
UgzFC2xY3SQdiKfJc-Z4AaABAg,Lewis Gladwell,5 months ago,1525380770189,He didn’t go through😭,0,false,0,,,,,,
UgxFEK7Gy8fr0mzXfm14AaABAg,Yolalicious,5 months ago,1525380770191,he's got a wonderful voice! prefer this over the old timey song choices. but you can tell he wasn't into it. oh well...,0,false,0,,,,,,
Ugy4QiPgSszJdbao5l54AaABAg,Ryae Cuthbert,5 months ago,1525380770193,"I do think this guy is talented. However, we HAVE a buble. He seems to be teetering on impersonation. I don't think that will fare well in the industry. Buble has his lane, he has his sound, he is still young enough for people to be interested in his music, he literally make CHRISTMAS ALBUMS that are played everywhere, and has built a fanbase, a large one. I love Austins sound but he LITERALLY sounds like an impersonator for buble. He needs to find something that makes him different, perhaps that will be finding his own sound, playing with his tone/rasp/growl ect and experimenting with newer songs.",0,false,0,,,,,,
Ugy5JyYCk1gqlTdsr0Z4AaABAg,Rozie Gabriel,5 months ago,1525380770196,"Sorry I think Blake made a big mistake by not keeping you! I love your style, songs, smoothness and confidence! Keep what you are doing. Praying someone produces you because I don't want to stop listening to you! Best of Luck Austin!",1,false,0,,,,,,
UgzgI53QPstoTs9F1UB4AaABAg,Kathy Mesimer,5 months ago,1525380770198,"This was just ok,he has a much better vocal than this,to me bad song choice.He's better than this.May hurt him in the long run",0,false,0,,,,,,
UgwhgFbZPr2MMtB-2BJ4AaABAg,Desiree Cordova,5 months ago,1525380770200,wow a mans singing my mans song... i love this concept,0,false,0,,,,,,
UgxEF3ZYRP35XhW8hZ14AaABAg,Geo Faour,5 months ago,1525380770202,ok glad his gone,0,true,1,,,,,,
,,,,,,,,UgxEF3ZYRP35XhW8hZ14AaABAg.8fETLAMohiA8fEX4mo1Gdn,Todd Yarton,5 months ago,1525380770544,Be careful you might be gone...in the head😎,0
Ugyo-Q99HEkqT1QktKV4AaABAg,CATHYZIE2000,5 months ago,1525380770206,Will iTunes release this song?,0,false,0,,,,,,
Ugx8tPD037LFXZIUSt94AaABAg,xXxElisabettaxXx,5 months ago,1525380770208,"Such a bad choice for him, jeez! 😱",0,false,0,,,,,,
UgxKBnoYQ3z8hXtHvXl4AaABAg,Pwn Tech,5 months ago,1525380770210,"we needed to see the range of genres you could do, i dont like JB, but its good that you can make his song relevant to your style, to everyone else reading this, its about his adaptation and not so much which song was choosen.",0,false,0,,,,,,
UgzCtzDuVjQlfzUuqi94AaABAg,efwin yudha,5 months ago,1525380770212,"he's gone. i'm done the voice, better watch american idol",1,false,0,,,,,,
UgwY2PW7m7ObEi9-AzB4AaABAg,Marwaaa,5 months ago,1525380770214,I love the turtleneck.,0,false,0,,,,,,
