id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
UgxZO-A9HbR18Pv4qvJ4AaABAg,buscolav,1 day ago,1539469960631,"Some commenters here said that she resembles Saoirse Ronan & Adele (in appearanca). But to me she looks more like Ricki Lake. She could even be her twin here. Anyway,  great vocals and very cute!",0,false,0,,,,,,
UgzsLklbheCV1N7zlgJ4AaABAg,KrayzieBoneThe GOAT,1 month ago,1536964360635,Her voice makes me melt,0,false,0,,,,,,
UgwnqFMCny2hZtRyrnh4AaABAg,J T,1 month ago,1536964360638,Who was the guy singer? Guessing he got beat?,0,false,0,,,,,,
UgxqLzhleqaV2AtNql94AaABAg,Sang Liana,1 month ago,1536964360642,Oh shes so sweet,0,false,0,,,,,,
UgzuScE-puZPPGiJqAR4AaABAg,Kevin Yao,1 month ago,1536964360645,I get goosebumps,0,false,0,,,,,,
Ugx5FhHSoZKFo953hcR4AaABAg,Kevin Yao,1 month ago,1536964360648,"She's so cute, I love this song",0,false,0,,,,,,
Ugz1l3D3e-0ns_Gbn4t4AaABAg,photoshopknight,1 month ago,1536964360652,singing contests need people like Caroline :),0,false,0,,,,,,
UgxE4z_rtfZ60LB2PDJ4AaABAg,simone lynch,3 months ago,1531607560655,whos here in 2018,2,false,0,,,,,,
Ugzp6fN072e-6o0Tbrp4AaABAg,Van Kleef,6 months ago,1523745160658,Such beautiful voice and Christina's smile is sexy 😍,0,false,0,,,,,,
UgxywO0o4mtYc4WBkdR4AaABAg,is Muttaqien,8 months ago,1518647560662,My favourite contestant ever,0,false,0,,,,,,
UgxGcOqX0BxcwEsIDZ14AaABAg,BeastMode,8 months ago,1518647560665,Best,0,false,0,,,,,,
UgyNueni1zJ9_ilCbch4AaABAg,Cherisse Tillman,8 months ago,1518647560668,One of my fav contestant on the show,0,false,0,,,,,,
Ugwzq9Ya_2TaDu4ni_V4AaABAg,Ario Irdani,9 months ago,1515969160672,You take me the way i am,0,false,0,,,,,,
Ugyr9GYtatTdvp4dFN94AaABAg,Judson Kramer,1 year ago,1508020360675,Caroline was on the first season I started watching and I keep watching because of her! There has not been one person that has come close to moving me the way she did! And where are the others now??? She still shines brightest! There is a lot of amazing talent on The Voice but very little emotional connection. CAROLINE!!!! LOVE!!!!!!!!!,3,false,0,,,,,,
Ugx1fWQ0_Qw8TBMjN-x4AaABAg,nelyana indra,1 year ago,1508020360679,i cried....its toooo perfect,1,false,0,,,,,,
