id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
Ugxt4brEmXUXNlOFArN4AaABAg,oreoemsa,7 hours ago,1539531578679,Omg i just love this way too much.,1,false,0,,,,,,
UgzTtGiU0qaRiBaaTd14AaABAg,Anna Donelan,3 days ago,1539297578681,HOW IS SHE PLAYING PIANO WITH ONE HAND AND SHE WASNT EVEN LOOKING,0,false,0,,,,,,
Ugw5OIhMC5C31YG_L6l4AaABAg,Mateus lopes,2 weeks ago,1538347178683,2018 ?????,0,false,0,,,,,,
UgwWgnUdUypcBLRtbLx4AaABAg,Star ks,2 weeks ago,1538347178686,2018?,1,false,0,,,,,,
Ugw5bBsuHrf8HMrguZ94AaABAg,Adryan Ferreira,2 weeks ago,1538347178688,Oi,0,false,0,,,,,,
UgyBkP023mSfRpKW6Qd4AaABAg,Beanie Stranger012,1 month ago,1536964778690,"It’s weird this song seems kinda out of her range and style     But she still sounds good?

How how is this possible",0,false,0,,,,,,
UgznRH7_iNA-JS38Aa54AaABAg,sioxsie _ jeez,1 month ago,1536964778692,this isn't her best work,0,false,0,,,,,,
Ugx-N-OA4qNkD-evBXt4AaABAg,Anayah Anthony,1 month ago,1536964778694,Now look how far she has gone,0,true,1,,,,,,
,,,,,,,,Ugx-N-OA4qNkD-evBXt4AaABAg.8kzp2CTlEbk8kzp50OtXeH,Anayah Anthony,1 month ago,1536964779044,Aggre and like if you love melanie martinez,0
UgxXRVTOsOkqgTtJqZZ4AaABAg,Anayah Anthony,1 month ago,1536964778697,I love you you melanie martinez,0,false,0,,,,,,
UgydUF-faW6THYqcoU54AaABAg,Adorable Cupcake,1 month ago,1536964778699,love Kick Ass (movie) and i love Melanie Martinez so they crushed i love this so much ♥️♥️,0,false,0,,,,,,
UgzyAEb6PyDdC4VDFZh4AaABAg,Shadow Wing,1 month ago,1536964778701,I LOVE THIS,1,false,0,,,,,,
UgxuLTrZfrfopYDv95l4AaABAg,Mr.Paranormal,1 month ago,1536964778703,I love her creativity,1,false,0,,,,,,
UgwJIpmQfuae55DmYf54AaABAg,Hung Anh,2 months ago,1534286378705,❤❤❤,1,false,0,,,,,,
UgxMbP3-3GvRuYUQsKV4AaABAg,saltana_gaming,2 months ago,1534286378707,i just love melanies uniqueness shes so cute here,1,false,0,,,,,,
Ugz2P7evoA6TA9w_A7h4AaABAg,drunkenkittens17,3 months ago,1531607978709,Did she win the voice?,1,true,1,,,,,,
,,,,,,,,Ugz2P7evoA6TA9w_A7h4AaABAg.8iY09C-R0zU8jOuLqEZeFc,Phat Succ,2 months ago,1534286379016,No :0 i think she made it to the finals tho?,0
UgyhnRNBzOSW_Gvy8H54AaABAg,Lais Nascimento,3 months ago,1531607978712,What the drugs made with her voice makes me cry 😭,0,false,0,,,,,,
Ugxm2ae6LotbZxIrz8N4AaABAg,Uriah Abeita,3 months ago,1531607978715,How did she not win?,1,false,0,,,,,,
Ugy14TeiL0-7HACpgNV4AaABAg,LPSEM rengarenk,3 months ago,1531607978717,Allahımm noolur Mell ile tanışayımmmm,0,false,0,,,,,,
UgxDKaogynZ9fuM4Iml4AaABAg,FALL OUT NIGHTCORE21,3 months ago,1531607978719,I'm crazy,0,false,0,,,,,,
UgzNaSxTvEWgOc64mb14AaABAg,bukowski flowers,3 months ago,1531607978722,I fucking love her,1,false,0,,,,,,
UgzfywfbWkDjFHMdV5x4AaABAg,crybaby alex,3 months ago,1531607979978,#Crybabyforever!!!!,2,false,0,,,,,,
Ugyd6KtnD_9MFzyyEHh4AaABAg,Tedd NG,3 months ago,1531607979981,Well.......now we know that all the best people are crazy,3,false,0,,,,,,
UgyrIoJYAMV78uQ9AMl4AaABAg,LPS Ash Whiskers and Gacha Fanny,3 months ago,1531607979984,"3 years later... 
I'M HERE PEEPS! HOW YA DOIN!? Oh god I'm late sorry",4,true,2,,,,,,
,,,,,,,,UgyrIoJYAMV78uQ9AMl4AaABAg.8hjCEqnjFj_8jeQYQnohlV,pink fluffy unicorns,2 months ago,1534286381090,LPS Ash Whiskers and Gacha Fanny lol I’m the same way tho 😂😂,0
,,,,,,,,UgyrIoJYAMV78uQ9AMl4AaABAg.8hjCEqnjFj_8jecQPnKEym,The Lemon Lime Raspberry,2 months ago,1534286381093,Lol me too,0
Ugy2m6g6bhRPqVo_hMt4AaABAg,Emma Nazareno,3 months ago,1531607979989,I bet ceelo was happy cus she sang his song lol,0,false,0,,,,,,
UgzFukcn0D7Hhm5JaXZ4AaABAg,Argentina Urtubia,3 months ago,1531607979992,:3,0,false,0,,,,,,
Ugz3kxrUz_v7qXmPRo14AaABAg,Julia Berezka,3 months ago,1531607979994,Русские есть?,0,false,0,,,,,,
Ugznim2CKQS1-jLRaZN4AaABAg,Lord Pancake,3 months ago,1531607979997,"It's like sleeping happily within a nightmare. Her voice is just so soothing, yet beautifully haunting at the same time.",1,false,0,,,,,,
UgxC5hHRFIcGElKERQB4AaABAg,Charles Wezzy,3 months ago,1531607980002,Eu vejo esses vídeos todos os dia slc 😍💙,1,false,0,,,,,,
UgxlsoNKc7cuv0QkBel4AaABAg,Sasaki Umiquema,4 months ago,1529015980006,The beginning of suicide squad,2,false,0,,,,,,
UgwJgvR3u6gtu9VF40h4AaABAg,panda boi1,4 months ago,1529015980009,yeet,1,false,0,,,,,,
UgxmsBweZljkKa77x3V4AaABAg,Lis Fox,4 months ago,1529015980012,Харли Куин)!!!,0,false,0,,,,,,
UgzgVrybfEFOFxebza94AaABAg,RIRI BLOSSOMS,4 months ago,1529015980015,Beautiful,0,false,0,,,,,,
UgzCDIis4_ls537-_-54AaABAg,xXfriends4lifeXx :3,4 months ago,1529015980018,So what if I’m crazy all the best people are,0,false,0,,,,,,
UgzUSZEcZ8MybG0cSlp4AaABAg,Cry Baby fan,4 months ago,1529015980022,Wow,0,false,0,,,,,,
UgxLIw37L_F2Va4Dvcp4AaABAg,mohammad omeiss,4 months ago,1529015980024,Crazy by relly relum best version ever learn from him 😐😐,0,false,0,,,,,,
UgyVOF-z6WQbYip9iKV4AaABAg,AngiePlays Oi me,4 months ago,1529015980027,You gotta Love her,1,false,0,,,,,,
Ugw4wVgaEUk168fGQXB4AaABAg,ShadowSilver08,4 months ago,1529015980030,<3,0,false,0,,,,,,
UgzMay13Lrg05kNRoId4AaABAg,ShadowSilver08,4 months ago,1529015980033,Does that make me crazy?,0,false,0,,,,,,
Ugw_ebUWl9Jyk3HzdEh4AaABAg,Call me KTB,4 months ago,1529015980037,Where mad hatter came from 💖,0,false,0,,,,,,
UgyIYNt75hzxZsa2-xJ4AaABAg,Isabelle Lourenco,4 months ago,1529015980040,Amazing singer. Amazing song. People can be crazy. It is good for hoping for people to have the time of their lives.,1,false,0,,,,,,
